MODULE,ROW NUMBER,ATTRIBUTE,VALIDATION
DISMANTLE_1,2,CIRCLE,set as EMPTY
DISMANTLE_1,3,SCOPE ADD DATE,set as EMPTY
DISMANTLE_1,4,HOP TECHNOLOGY,set as EMPTY
DISMANTLE_1,5,PROJECT,set as EMPTY
DISMANTLE_1,6,SORTED LINK(A/B),set as EMPTY
DISMANTLE_1,7,LINK ID (A-B),set as EMPTY
DISMANTLE_1,8,LINK(B-A),set as EMPTY
DISMANTLE_1,9,SITE ID,set as EMPTY
DISMANTLE_1,10,LINK TYPE,set as EMPTY
DISMANTLE_1,11,MODULES NAME,set as EMPTY
DISMANTLE_1,12,MODULE QTY,set as EMPTY
DISMANTLE_1,13,MODULE SERIAL NO and MODULE TYPE,set as EMPTY
DISMANTLE_1,14,HOP MAKE,set as EMPTY
DISMANTLE_1,15,HOP TYPE,set as EMPTY
DISMANTLE_1,16,PROJECT NAME A,set as EMPTY
DISMANTLE_1,17,"FREQUENCY BAND, SITE IP, SLOT NUMBER",set as EMPTY
DISMANTLE_2,2,CIRCLE,set as INVALID
DISMANTLE_2,3,SCOPE ADD DATE,set as INVALID
DISMANTLE_2,4,HOP TECHNOLOGY,set as INVALID
DISMANTLE_2,5,PROJECT,set as INVALID
DISMANTLE_2,6,SORTED LINK(A/B),set as INVALID
DISMANTLE_2,7,LINK ID (A-B),set as INVALID
DISMANTLE_2,8,LINK(B-A),set as INVALID
DISMANTLE_2,9,SITE ID,set as INVALID
DISMANTLE_2,10,LINK TYPE,set as INVALID
DISMANTLE_2,11,MODULES NAME,set as INVALID
DISMANTLE_2,12,MODULE QTY,set as INVALID
DISMANTLE_2,13,MODULE SERIAL NO and MODULE TYPE,set as INVALID
DISMANTLE_2,14,HOP MAKE,set as INVALID
DISMANTLE_2,15,HOP TYPE,set as INVALID
DISMANTLE_2,16,PROJECT NAME A,set as INVALID
DISMANTLE_2,17,"FREQUENCY BAND, SITE IP, SLOT NUMBER",set as INVALID
DISMANTLE_3,2,UNIQUE KEY LOGIC,set EMPTY
DISMANTLE_3,3,UNIQUE KEY LOGIC,set INVALID
DISMANTLE_3,4,UNIQUE KEY LOGIC,INVALID_SiteAHGF10-SiteAHGF20_Huawei_Sample_Split_15Ghz
DISMANTLE_3,5,UNIQUE KEY LOGIC,set as invalid value is GUJ_SINVALID-SiteAHGF20_Huawei_Sample_Split_15Ghz
DISMANTLE_3,6,UNIQUE KEY LOGIC,set as invalid value is GUJ_SiteAHGF10-INVALID_Huawei_Sample_Split_15Ghz
DISMANTLE_3,7,UNIQUE KEY LOGIC,set as invalid value is GUJ_SiteAHGF10-SiteAHGF20_INVALID_Sample_Split_15Ghz
DISMANTLE_3,8,UNIQUE KEY LOGIC,set as invalid value is GUJ_SiteAHGF10-SiteAHGF20_Huawei_Sample_Split_15Ghz
DISMANTLE_3,9,UNIQUE KEY LOGIC,set as invalid value is GUJ_SiteAHGF10-SiteAHGF20_Huawei_Sample_INVALID_15Ghz
DISMANTLE_3,10,UNIQUE KEY LOGIC,set as invalid value is GUJ_SiteAHG10-SiteAHG20_Huawei_Sample_Split_INVALID
DISMANTLE_3,11,UNIQUE KEY LOGIC,set as invalid value is GUJ_SiteAHG10-SiteAHG20_Huawei_Sample_Split_15Ghz_INVALID
DISMANTLE_3,12,UNIQUE KEY LOGIC,set as invalid value is INVALID-GUJ_SiteAHG10-SiteAHG20_Huawei_Sample_Split_15Ghz
DISMANTLE_3,13,PLAN VALIDATION,set invalid inputes
DISMANTLE_3,14,PLAN VALIDATION,set invalid Project name
DISMANTLE_3,15,PLAN VALIDATION,Invalid Plan
DISMANTLE_3,16,PLAN VALIDATION,set invalid Link type and Hop Make
DISMANTLE_3,17,PLAN VALIDATION,InvaLID Plan
DISMANTLE_BULK_ASSIGNMENT,2,CIRCLE,set empty
DISMANTLE_BULK_ASSIGNMENT,3,CIRCLE,set invalid
DISMANTLE_BULK_ASSIGNMENT,4,PLAN ID,set empty
DISMANTLE_BULK_ASSIGNMENT,5,ASSIGN TO DEPARTMENT,set empty
DISMANTLE_BULK_ASSIGNMENT,6,ASSIGN TO USER,set empty
DISMANTLE_BULK_ASSIGNMENT,7,ASSIGN TO USER,set invalid
DISMANTLE_BULK_ASSIGNMENT,8,PLAN VALIDATION,set invalid all values
DISMANTLE_BULK_ASSIGNMENT,9,PLAN VALIDATION,Plan assign to Operation User
DISMANTLE_BULK_ASSIGNMENT,10,PLAN VALIDATION,Plan Assign to DINC user
DISMANTLE_BULK_ASSIGNMENT,11,PLAN VALIDATION,Plan Assign to B2B / Invalid user name
DISMANTLE_BULK_ASSIGNMENT,12,PLAN VALIDATION,Plan Assign to Deployment User
DISMANTLE_DELETE,2,PLAN ID,set empty
DISMANTLE_DELETE,3,PLAN ID,set invalid
DISMANTLE_DELETE,4,REMARKS,set empty
DISMANTLE_DELETE,5,PLAN ID,set Invalid Plan ID
DISMANTLE_BULK_STATUS_UPDATE,2,CIRCLE,set invalid
DISMANTLE_BULK_STATUS_UPDATE,3,CIRCLE,set empty
DISMANTLE_BULK_STATUS_UPDATE,4,DISMANTLE PLAN ID,set invalid
DISMANTLE_BULK_STATUS_UPDATE,5,DISMANTLE PLAN ID,set empty
DISMANTLE_BULK_STATUS_UPDATE,6,PLAN STATUS,set invalid
DISMANTLE_BULK_STATUS_UPDATE,7,PLAN STATUS,set empty
DISMANTLE_BULK_STATUS_UPDATE,8,REMARKS,set empty
DISMANTLE_BULK_STATUS_UPDATE,9,PLAN VALIDATION,valid plan
DISMANTLE_BULK_STATUS_UPDATE,10,PLAN STATUS,set invalid 
DISMANTLE_BULK_STATUS_UPDATE,11,PLAN VALIDATION,all fields blank
UPLOAD_TS_RELEASE,2,PLAN ID,set empty
UPLOAD_TS_RELEASE,3,TS PLAN RELEASE FOR,set invalid
UPLOAD_TS_RELEASE,4,TS PLAN RELEASE FOR,set empty
UPLOAD_TS_RELEASE,5,PLAN ID,set invalid
UPLOAD_TS_RELEASE,6,TS PLAN RELEASE FOR,set invalid (UBH947_6G)
UPLOAD_TS_RELEASE,7,TS PLAN RELEASE FOR,set invalid (DTPJ91_2G_INVALID_5G)
UPLOAD_TS_RELEASE,8,TS PLAN RELEASE FOR,set invalid (JUNR76_2G_4G8)
UPLOAD_TS_RELEASE,9,TS PLAN RELEASE FOR,set invalid (LUDH51_2G_4G-5G)
UPLOAD_TS_RELEASE,10,PLAN VALIDATION,valid plan
UPLOAD_TS_RELEASE,11,CIRCLE,set empty
UPLOAD_TS_RELEASE,12,CIRCLE,set invalid
